Column1,Column2.1,Column2.2
CHOP FUNG LIK RESTAURANT,5023 ANG MO KIO IND PARK 2, 569526
CHUN TAT KEE,306A WOODLANDS ST 31, 731306
CHUNG LIM WET MARKET,151A BISHAN ST 11, 571151
CI YUAN HAWKER CENTRE,51 HOUGANG AVE 9, 538776
CIRCUIT ROAD MARKET AND FOOD CENTRE,80 CIRCUIT RD, 370080
CITY FOOD COURT,27 BENDEMEER RD, 330027
CLEMENTI 448 FOOD CENTRE,448 CLEMENTI AVE 3, 120448
CLEMENTI 881 COFFEE STATION,345 CLEMENTI AVE 5, 120345
CLEMENTI AVE 2 MARKET & FOOD CENTRE,353 CLEMENTI AVE 2, 120353
CNT CAFEE PTE LTD,704 BEDOK RESERVOIR, 470704
COFFEE AND TEA,159 ANG MO KIO AVE 4, 560159
COFFEE AND TEA,78A TELOK BLANGAH ST 32, 101078
COFFEE EXPRESS 2000,443 PASIR RIS DR 6, 510443
COFFEE EXPRESS 2000 (231),231 BAIN ST, 180231
COFFEE SENSE,181 ANG MO KIO AVE 5, 560181
COFFEE UNITED,325 WOODLANDS ST 32, 730325
COFFEE UNITED (496),496 JURONG WEST ST 41, 640496
COLA FOOD,260 ANG MO KIO ST 21, 560260
COLA FOOD (570A),570A WOODLANDS AVE 1, 731570
COMMONWEALTH CRESCENT MARKET AND FOOD CENTRE,31 COMMONWEALTH CRES, 149644
CU COFFEE UNITED,78C TOA PAYOH CENTRAL, 313078
CU FNB PTE LTD,122 ANG MO KIO AVE 3, 560122
DE TIAN,46 TELOK BLANGAH DR, 100046
DE TIAN,570A WOODLANDS AVE 1, 731570
DE TIAN,631 ANG MO KIO AVE 4, 560631
DE TIAN,915 TAMPINES ST 91, 520915
DE TIAN (120),120 BISHAN ST 12, 570120
DE TIAN (126),126 CANBERRA ST, 750126
DE TIAN (265),265 BUKIT BATOK EAST AVE 4, 650265
DE TIAN (28),28 JALAN BUKIT MERAH, 152028
DE TIAN (524),524 HOUGANG AVE 6, 530524
DE TIAN (59),59 NEW UPPER CHANGI RD, 461059
DE TIAN (73),73 LORONG 4 TOA PAYOH, 310073
DE TIAN COFFEE HOUSE,2 THIRD LOK YANG RD, 627997
DELI KOPITIAM,150 BISHAN ST 11, 570150
DMQ EATERING HOUSE,304 UBI AVE 1, 400304
DOVER COFFEE HUB,19A DOVER CRES, 131019
DRAGON VALLEY,26A CHAI CHEE RD, 461026
D'SWEET TOUCH DELI,44 OWEN RD, 210044
DUNMAN FOOD CENTRE,271 ONAN RD, 424768
EAST COAST LAGOON FOOD CENTRE,1220 EAST COAST PARKWAY, 468960
EATING HOUSE 815,815 JURONG WEST ST 81, 640815
EDDY SEAFOOD 156,963 JURONG WEST ST 91, 640963
EE HOE EATING HOUSE,20 LORONG 7 TOA PAYOH, 310020
EIGHTWAYS,395A BUKIT BATOK WEST AVE 5, 651395
EMPRESS ROAD MARKET AND FOOD CENTRE,7 EMPRESS RD, 260007
ENG HUAT LEE,138 TAMPINES ST 11, 521138
ENG KEE,505 WEST COAST DR, 120505
ENG KOPITIAM,605 YISHUN ST 61, 760605
EPIC HAUS,211 LORONG 8 TOA PAYOH, 310211
EPIC HAUS (177),177 TOA PAYOH CENTRAL, 310177
EPIC HAUS (267A),267A TOH GUAN RD, 601267
EPIC HAUS (37),37 CHAI CHEE RD AVE, 461037
EPIC HAUS (780),780 YISHUN RING RD, 760780
"ESSEN, THE PINNACLE",1 CANTONMENT RD, 080001
EUNOS CRESCENT MARKET AND FOOD CENTRE,4A EUNOS CRES, 402004
FAIR INN FOOD PLACE,806 WOODLANDS ST 81, 730806
FAIR VIEW FOOD COURT,371A WOODLANDS AVE 1, 731371
FENG SHENG (477),477 TAMPINES ST 43, 520477
FERNVALE HAWKER CENTRE AND MARKET,21 SENGKANG WEST AVE, 797650
FF 419 FNB PTE LTD,419 TAMPINES ST 41, 520419
FIRST COFFEESHOP PTE LTD,107 ANG MO KIO AVE 4, 560107
FIRST EATING HOUSE PTE LTD,66 KALLANG BHARU, 330066
FM FOODMORE (SERANGOON),19 SERANGOON NORTH AVE 5, 554913
FONG FU FOOD INDUSTRIES PTE LTD,65A JALAN TENTERAM, 328958
FOOD CITY (21),21 LORONG 7 TOA PAYOH, 310021
FOOD CITY BY FU CHAN,301 PUNGGOL CENTRAL, 820301
FOOD HAVEN,5 UPPER BOON KENG RD, 380005
FOOD LOFT,338 ANG MO KIO AVE 1, 560338
FOOD MALL,10 MARSILING IND ESTATE RD, 739276
FOOD PARADISE,417 FERNVALE LINK, 790417
FOOD PARADISE (11B),11B BOON TIONG RD, 163011
FOOD PARADISE (12),120 CANBERRA CRES, 750120
FOOD PARADISE (182),182 WOODLANDS ST 13, 730182
FOOD PARADISE (330),330 ANCHORVALE ST, 540330
FOOD PARADISE (785E),785E WOODLANDS RISE, 735785
FOOD PARADISE 279 SENG KANG,279 SENGKANG EAST AVE, 540279
FOOD PARK (164 TAMPINES),164 TAMPINES ST 12, 521164
FOOD PAVILION,443 CLEMENTI AVE 3, 120443
FOOD TRAIL,22 SIN MING RD, 570022
FOOD VILLAGE,660A EDGEDALE PLAINS, 821660
FOODCITY (529),529 HOUGANG AVE 6, 530529
FOODCLIQUE PTE LTD,292 BUKIT BATOK EAST AVE 6, 650292
FOODFARE (507),507 YISHUN AVE 4, 760507
FOODGLE (308C),308C PUNGGOL WALK, 823308
FOODGLE (451),451 BUKIT BATOK WEST AVE 6, 650451
FOODGLE COFFEE SHOP,513 YISHUN ST 51, 760513
FOODGLE HUB,119 BUKIT MERAH LN 1, 151119
FOODHUB,119 ALJUNIED AVE 2, 380119
FOODHUB,145 TECK WHYE AVE, 680145
FOODHUB,169 STIRLING RD, 140169
FOODHUB,455 SENGKANG WEST AVE, 790455
FOODHUB,631 HOUGANG AVE 8, 530631
FOODHUB,803 KEAT HONG CLOSE, 680803
FOODHUB (209),209 NEW UPPER CHANGI RD, 460209
FOODHUB (214),214 SERANGOON AVE 4, 550214
FOODHUB (547),547 SEGAR RD, 670547
FOODHUB (678A),678A CHOA CHU KANG CRES, 681678
FOODLOFT,338 ANG MO KIO AVE 1, 560338
FOODLOFT,823A TAMPINES ST 81, 521823
FOODLOFT (107),107 ANG MO KIO AVE 4, 560107
FOODLOFT (159A),159A HOUGANG ST 11, 531159
FOODLOFT (217),217 BEDOK NORTH ST 1, 460217
FOODLOFT (3),3 ST GEORGE RD, 320003
FOODLOFT (306),306 WOODLANDS ST 31, 730306
FOODLOFT (308),308 CLEMENTI AVE 4, 120308
FOODLOFT (431),431 CELMENTI AVE 3, 120431
